                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.80151,                 0.4752,                 1.0159,                0.87161,                0.81818,                0.91087,                0.77468,                 0.5743,                 0.5731,                0.98337,              0.0013169,              0.0013169,              0.0013169
                     72,                0.78589,                0.46969,                 1.0077,                0.93839,                0.92313,                0.97325,                0.85154,                0.55893,                0.42979,                0.95187,               0.001307,               0.001307,               0.001307
                     73,                0.79149,                0.46663,                 1.0052,                 0.8914,                0.87062,                 0.9535,                0.83223,                0.54978,                0.44255,                0.94136,              0.0012971,              0.0012971,              0.0012971
                     74,                0.77908,                0.46697,                0.99607,                0.96525,                0.93939,                0.97535,                0.84371,                0.53761,                0.41263,                0.92486,              0.0012872,              0.0012872,              0.0012872
                     75,                0.75965,                0.44391,                0.99392,                 0.9832,                0.92424,                0.98076,                0.86133,                0.50206,                0.42992,                0.92053,              0.0012773,              0.0012773,              0.0012773
                     76,                0.74738,                0.44831,                0.98299,                 0.9518,                0.95455,                0.98269,                0.86589,                0.53317,                0.43492,                0.92176,              0.0012674,              0.0012674,              0.0012674
                     77,                0.79729,                0.46529,                 0.9971,                0.98904,                0.89394,                0.97657,                0.84239,                0.52602,                0.42429,                0.93395,              0.0012575,              0.0012575,              0.0012575
                     78,                0.76554,                0.45892,                 1.0036,                0.94088,                0.84848,                 0.9557,                 0.7912,                0.59192,                0.55856,                0.96769,              0.0012476,              0.0012476,              0.0012476
                     79,                0.77921,                0.45405,                  1.007,                0.95224,                0.90627,                0.96929,                0.83532,                0.54483,                 0.4703,                0.93669,              0.0012377,              0.0012377,              0.0012377
                     80,                 0.7702,                0.44825,                0.99632,                0.92433,                0.93939,                0.97088,                0.85484,                0.50846,                0.38651,                0.90014,              0.0012278,              0.0012278,              0.0012278
                     81,                0.76364,                0.46187,                0.99748,                 0.9701,                0.98326,                0.98504,                0.90502,                0.44456,                0.34982,                0.87676,              0.0012179,              0.0012179,              0.0012179
                     82,                0.74306,                0.44301,                0.98465,                0.95537,                0.97311,                0.98986,                0.90178,                0.44141,                0.34022,                0.87777,               0.001208,               0.001208,               0.001208
                     83,                 0.7476,                0.44435,                0.98763,                0.92561,                 0.9697,                0.98702,                0.88632,                0.48136,                0.38643,                0.90703,              0.0011981,              0.0011981,              0.0011981
                     84,                0.73828,                 0.4346,                0.97878,                 0.9224,                0.90057,                0.96177,                0.83927,                0.52173,                0.44067,                0.92782,              0.0011882,              0.0011882,              0.0011882
                     85,                0.74833,                0.43795,                0.97965,                0.93112,                0.93939,                0.97101,                0.84053,                0.52918,                0.40257,                 0.9317,              0.0011783,              0.0011783,              0.0011783
                     86,                0.71593,                0.42709,                0.96426,                0.94191,                0.98281,                0.98917,                0.88028,                0.48186,                0.30933,                0.88428,              0.0011684,              0.0011684,              0.0011684
                     87,                0.71777,                  0.427,                0.98114,                0.87044,                0.77273,                0.87135,                0.70849,                0.65287,                0.53021,                 1.1214,              0.0011585,              0.0011585,              0.0011585
                     88,                0.73716,                0.44914,                0.97684,                0.95228,                 0.9697,                0.98759,                0.87213,                0.47296,                0.35314,                0.88126,              0.0011486,              0.0011486,              0.0011486
                     89,                0.73872,                0.43895,                0.97595,                0.96591,                0.95455,                0.98468,                 0.8809,                 0.4908,                0.33507,                0.89021,              0.0011387,              0.0011387,              0.0011387
                     90,                 0.7307,                0.41943,                0.96814,                0.98456,                 0.9665,                0.98958,                0.87819,                0.46961,                0.29732,                0.88206,              0.0011288,              0.0011288,              0.0011288
                     91,                0.70117,                0.40312,                0.97061,                 0.9494,                0.95455,                0.98677,                0.88273,                0.49089,                0.37975,                0.88974,              0.0011189,              0.0011189,              0.0011189
                     92,                0.70616,                0.41674,                0.96676,                0.93934,                0.93846,                0.96769,                0.86988,                0.51127,                0.56881,                0.92127,               0.001109,               0.001109,               0.001109
                     93,                0.72727,                0.42896,                0.97371,                 0.9756,                0.89394,                0.97052,                0.86345,                0.50452,                0.44919,                0.91476,              0.0010991,              0.0010991,              0.0010991
                     94,                0.70013,                0.41838,                0.96055,                0.98321,                0.88746,                0.97862,                0.84415,                0.50439,                0.42612,                0.92393,              0.0010892,              0.0010892,              0.0010892
                     95,                0.68945,                0.41161,                0.97018,                0.95517,                0.96846,                0.98662,                0.86925,                0.48121,                0.36051,                0.87949,              0.0010793,              0.0010793,              0.0010793
                     96,                0.72841,                0.42483,                0.96456,                0.93926,                 0.9372,                0.97962,                0.86111,                 0.5335,                 0.4306,                0.91132,              0.0010694,              0.0010694,              0.0010694
                     97,                0.73835,                0.42717,                0.97814,                      1,                0.95111,                0.98784,                0.87787,                0.49024,                0.35986,                0.90171,              0.0010595,              0.0010595,              0.0010595
                     98,                0.69425,                0.41211,                0.97103,                0.95246,                0.91063,                0.97717,                0.87214,                0.55482,                0.40537,                0.93207,              0.0010496,              0.0010496,              0.0010496
                     99,                0.69685,                0.41531,                0.97313,                0.96687,                 0.9697,                0.98924,                0.89518,                0.49883,                0.34337,                0.90179,              0.0010397,              0.0010397,              0.0010397
                    100,                0.68415,                0.41391,                0.95971,                0.92516,                0.93659,                0.96954,                0.85753,                 0.5066,                0.37264,                 0.8935,              0.0010298,              0.0010298,              0.0010298
                    101,                0.67734,                0.39641,                0.95749,                0.96773,                0.90868,                0.97967,                0.88906,                 0.4907,                0.37165,                0.89584,              0.0010199,              0.0010199,              0.0010199
                    102,                0.67649,                0.41108,                0.95409,                0.96865,                 0.9364,                0.98136,                0.88172,                0.46926,                0.36604,                0.89783,                0.00101,                0.00101,                0.00101
                    103,                0.65405,                 0.3996,                0.94957,                0.92424,                0.95455,                0.98087,                0.88093,                0.49353,                0.36448,                0.89004,              0.0010001,              0.0010001,              0.0010001
                    104,                0.71192,                0.41628,                0.95361,                0.92834,                0.95455,                0.96779,                0.84054,                0.52778,                0.37733,                0.91728,              0.0009902,              0.0009902,              0.0009902
                    105,                0.65938,                  0.392,                0.95196,                0.94974,                0.93939,                  0.986,                0.89406,                0.47818,                0.42149,                0.89053,              0.0009803,              0.0009803,              0.0009803
                    106,                0.67143,                0.40007,                0.95493,                0.94154,                0.98485,                0.98326,                0.88516,                0.45948,                0.34164,                0.88762,              0.0009704,              0.0009704,              0.0009704
                    107,                0.65559,                0.38236,                0.93757,                0.97401,                 0.9697,                0.98353,                0.86635,                 0.4699,                0.32242,                0.89641,              0.0009605,              0.0009605,              0.0009605
                    108,                0.65136,                0.38454,                0.95061,                0.95078,                0.93939,                0.98327,                0.87996,                0.46685,                0.34753,                0.87742,              0.0009506,              0.0009506,              0.0009506
                    109,                0.66088,                0.39394,                 0.9429,                0.96804,                 0.9697,                0.99267,                0.89823,                0.45856,                 0.3474,                 0.8758,              0.0009407,              0.0009407,              0.0009407
                    110,                0.67138,                0.38752,                0.94903,                0.96797,                0.95455,                0.97815,                0.86607,                0.47107,                0.40365,                0.90043,              0.0009308,              0.0009308,              0.0009308
                    111,                0.64999,                0.38572,                0.95107,                0.92505,                  0.935,                0.95349,                0.84419,                0.47991,                0.43657,                  0.913,              0.0009209,              0.0009209,              0.0009209
                    112,                 0.6629,                 0.3961,                0.94875,                0.93947,                0.98485,                0.98431,                0.88168,                0.46713,                0.32133,                0.87555,               0.000911,               0.000911,               0.000911
                    113,                0.62763,                0.36802,                0.94104,                0.98454,                0.96485,                0.98354,                0.88632,                0.47357,                0.31439,                0.89491,              0.0009011,              0.0009011,              0.0009011
                    114,                0.65935,                0.38976,                0.94541,                0.95541,                0.89394,                0.97934,                0.89301,                0.47493,                0.31573,                0.87645,              0.0008912,              0.0008912,              0.0008912
                    115,                 0.6553,                0.37997,                0.93944,                0.96799,                0.91657,                0.98117,                0.88143,                 0.4944,                 0.4146,                0.89907,              0.0008813,              0.0008813,              0.0008813
                    116,                0.62127,                0.36857,                0.93686,                0.94026,                0.92424,                0.97385,                0.87238,                0.52306,                0.44659,                0.91861,              0.0008714,              0.0008714,              0.0008714
                    117,                0.62735,                0.37487,                0.93264,                0.95338,                 0.9697,                0.98817,                0.89692,                0.49564,                0.39403,                0.91645,              0.0008615,              0.0008615,              0.0008615
                    118,                0.63832,                0.37404,                0.93421,                0.94093,                0.96541,                0.98785,                0.88672,                0.51437,                0.40595,                0.91611,              0.0008516,              0.0008516,              0.0008516
                    119,                0.62594,                0.36073,                0.93314,                0.97354,                0.93939,                0.98439,                0.88007,                0.51998,                0.39231,                0.90811,              0.0008417,              0.0008417,              0.0008417
                    120,                 0.6392,                0.36318,                 0.9341,                0.99511,                0.92424,                0.98051,                0.89708,                0.47401,                0.33695,                0.87165,              0.0008318,              0.0008318,              0.0008318
                    121,                0.61383,                0.36841,                0.93036,                0.99727,                0.93939,                0.98397,                 0.8941,                0.49122,                0.32854,                0.88494,              0.0008219,              0.0008219,              0.0008219
                    122,                0.60772,                0.36975,                0.92787,                0.98714,                0.90909,                0.97944,                 0.8924,                0.47228,                0.34652,                0.88596,               0.000812,               0.000812,               0.000812
                    123,                 0.6236,                0.36765,                0.92783,                0.98437,                0.95446,                0.97075,                0.86624,                0.46808,                 0.3061,                0.89573,              0.0008021,              0.0008021,              0.0008021
                    124,                0.61433,                0.36107,                0.93152,                0.95272,                0.92424,                0.97641,                0.89557,                0.45389,                0.41881,                0.86741,              0.0007922,              0.0007922,              0.0007922
                    125,                0.59734,                0.35969,                0.94009,                 0.9371,                0.90293,                0.93925,                0.80517,                0.59828,                0.44888,                0.98521,              0.0007823,              0.0007823,              0.0007823
                    126,                0.62094,                0.37449,                0.93768,                0.98437,                0.95397,                0.98451,                0.88285,                0.48026,                0.34192,                0.87002,              0.0007724,              0.0007724,              0.0007724
